Event	ID	Name			Wwise Object Path	Notes
	1847965184	Amb_3_Stop			\Default Work Unit\Strahinja\Ambiences\Amb_3_Stop	
	2061769228	Amb_2			\Default Work Unit\Strahinja\Ambiences\Amb_2	
	2061769229	Amb_3			\Default Work Unit\Strahinja\Ambiences\Amb_3	
	2061769230	Amb_0			\Default Work Unit\Strahinja\Ambiences\Amb_0	
	2061769231	Amb_1			\Default Work Unit\Strahinja\Ambiences\Amb_1	
	2399501243	Amb_2_Stop			\Default Work Unit\Strahinja\Ambiences\Amb_2_Stop	
	3117686093	Amb_0_Stop			\Default Work Unit\Strahinja\Ambiences\Amb_0_Stop	
	3728035898	Amb_1_Stop			\Default Work Unit\Strahinja\Ambiences\Amb_1_Stop	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3630541	Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 4	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 4_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_3_Strong\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 4		539384
	41085818	Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 1	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 1_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_1_Light\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 1		564800
	50108397	Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 5	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 5_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_3_Strong\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 5		444216
	58119890	Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 9	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 9_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_3_Strong\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 9		444216
	61840166	Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 7	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 7_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_2_Medium\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 7		650608
	80585110	Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 8	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 8_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_3_Strong\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 8		412496
	97431993	Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 9	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 9_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_2_Medium\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 9		528640
	132837313	Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 6	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 6_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_2_Medium\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 6		487980
	145365664	Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 6	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 6_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_1_Light\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 6		621272
	195243326	Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 5	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 5_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_2_Medium\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 5		528640
	314410897	Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 6	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 6_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_3_Strong\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 6		412492
	434977011	Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 3	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 3_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_2_Medium\Wind, General, Mountain Wind, Constant With Strong Gusts, Winter, Snowy, Cabin Area 01 (AmbiX) SND89940 3		609952
	444312268	Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 5	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 5_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_1_Light\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 5		677740
	460143203	Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_3_Strong\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836		444216
	504954071	RainAmb	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\RainAmb_FBC78EF0.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\RainAmb\RainAmb		3690152
	537143797	Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 7	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 7_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_3_Strong\Wind, General, Wind, Rushing, High Mountains, Himalaya 03 SND102836 7		412492
	549473828	Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 7	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 7_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_1_Light\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 7		677740
	661588064	Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 2	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 2_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\Windambience_1_Light\Wind, General, Cold, Mountain Wind, Gusts, Varied Intensity SND137538 2		677740
	744862487	Weather, Thunder, Thunder, Strike SND152491 2	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Weather, Thunder, Thunder, Strike SND152491 2_9D6835E9.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\RainAmb\Thunder\Weather, Thunder, Thunder, Strike SND152491 2		3519508
	794101408	Silence_03	Y:\Documents\GitHub\TGA_Kattspel_P7G3\KattSpel\WwiseProjekt\P7 - Group 3\.cache\Windows\SFX\Weather, Thunder, Thunder, Strike SND152491_818F3B66.wem		\Actor-Mixer Hierarchy\Strahinja_WorkUnit\Strahinja\AMB\Ambience_loops\RainAmb\Thunder\Silence_03		802768
